State,Description,Year,Value
Alabama,Real dollar statistics,2016,NA
Alabama,Real dollar statistics,2017,NA
Alabama,Real dollar statistics,2018,NA
Alabama,Real dollar statistics,2019,NA
Alabama,Real dollar statistics,2020,NA
Alabama,Real dollar statistics,2021,NA
Alabama,Real dollar statistics,2022,NA
Alabama,Real GDP (millions of chained 2017 dollars) 1,2016,NA
Alabama,Real GDP (millions of chained 2017 dollars) 1,2017,216615.5
Alabama,Real GDP (millions of chained 2017 dollars) 1,2018,220808.8
Alabama,Real GDP (millions of chained 2017 dollars) 1,2019,224944.6
Alabama,Real GDP (millions of chained 2017 dollars) 1,2020,222081.4
Alabama,Real GDP (millions of chained 2017 dollars) 1,2021,231892.6
Alabama,Real GDP (millions of chained 2017 dollars) 1,2022,235807.3
Alabama,Real personal income (millions of constant (2017) dollars) 2,2016,214859.9
Alabama,Real personal income (millions of constant (2017) dollars) 2,2017,220235.9
Alabama,Real personal income (millions of constant (2017) dollars) 2,2018,231109.9
Alabama,Real personal income (millions of constant (2017) dollars) 2,2019,235777.4
Alabama,Real personal income (millions of constant (2017) dollars) 2,2020,252611.7
Alabama,Real personal income (millions of constant (2017) dollars) 2,2021,264054
Alabama,Real personal income (millions of constant (2017) dollars) 2,2022,253984.2
Alabama,Real PCE (millions of constant (2017) dollars) 3,2016,177257.9
Alabama,Real PCE (millions of constant (2017) dollars) 3,2017,181495.6
Alabama,Real PCE (millions of constant (2017) dollars) 3,2018,190026.5
Alabama,Real PCE (millions of constant (2017) dollars) 3,2019,193422.3
Alabama,Real PCE (millions of constant (2017) dollars) 3,2020,191489.3
Alabama,Real PCE (millions of constant (2017) dollars) 3,2021,206172
Alabama,Real PCE (millions of constant (2017) dollars) 3,2022,211182.9
Alabama,Current dollar statistics (millions of dollars),2016,NA
Alabama,Current dollar statistics (millions of dollars),2017,NA
Alabama,Current dollar statistics (millions of dollars),2018,NA
Alabama,Current dollar statistics (millions of dollars),2019,NA
Alabama,Current dollar statistics (millions of dollars),2020,NA
Alabama,Current dollar statistics (millions of dollars),2021,NA
Alabama,Current dollar statistics (millions of dollars),2022,NA
Alabama,Gross domestic product (GDP),2016,NA
