State,Year,Type,Count,Clean
Alabama,2016,Electric (EV),500,1
Alabama,2016,Plug-In Hybrid Electric (PHEV),900,1
Alabama,2016,Hybrid Electric (HEV),29100,1
Alabama,2016,Biodiesel,0,1
Alabama,2016,Ethanol/Flex (E85),428300,1
Alabama,2016,Compressed Natural Gas (CNG),20100,1
Alabama,2016,Propane,0,1
Alabama,2016,Hydrogen,0,1
Alabama,2016,Methanol,0,1
Alabama,2016,Gasoline,3777300,0
Alabama,2016,Diesel,126500,0
Alabama,2016,Unknown Fuel,53900,0
Alaska,2016,Electric (EV),200,1
Alaska,2016,Plug-In Hybrid Electric (PHEV),200,1
Alaska,2016,Hybrid Electric (HEV),5000,1
Alaska,2016,Biodiesel,0,1
Alaska,2016,Ethanol/Flex (E85),55700,1
Alaska,2016,Compressed Natural Gas (CNG),4900,1
Alaska,2016,Propane,0,1
Alaska,2016,Hydrogen,0,1
Alaska,2016,Methanol,0,1
Alaska,2016,Gasoline,525900,0
Alaska,2016,Diesel,44800,0
Alaska,2016,Unknown Fuel,19400,0
Arizona,2016,Electric (EV),4700,1
Arizona,2016,Plug-In Hybrid Electric (PHEV),4400,1
Arizona,2016,Hybrid Electric (HEV),89600,1
Arizona,2016,Biodiesel,0,1
Arizona,2016,Ethanol/Flex (E85),427300,1
Arizona,2016,Compressed Natural Gas (CNG),17500,1
Arizona,2016,Propane,0,1
Arizona,2016,Hydrogen,0,1
Arizona,2016,Methanol,100,1
Arizona,2016,Gasoline,4805000,0
Arizona,2016,Diesel,179500,0
Arizona,2016,Unknown Fuel,112800,0
Arkansas,2016,Electric (EV),200,1
Arkansas,2016,Plug-In Hybrid Electric (PHEV),500,1
Arkansas,2016,Hybrid Electric (HEV),19100,1
Arkansas,2016,Biodiesel,0,1
Arkansas,2016,Ethanol/Flex (E85),320500,1
Arkansas,2016,Compressed Natural Gas (CNG),12600,1
Arkansas,2016,Propane,0,1
Arkansas,2016,Hydrogen,0,1
Arkansas,2016,Methanol,0,1
Arkansas,2016,Gasoline,2097800,0
Arkansas,2016,Diesel,96800,0
Arkansas,2016,Unknown Fuel,22200,0
California,2016,Electric (EV),141500,1
California,2016,Plug-In Hybrid Electric (PHEV),116700,1
California,2016,Hybrid Electric (HEV),966700,1
California,2016,Biodiesel,0,1
California,2016,Ethanol/Flex (E85),1322600,1
California,2016,Compressed Natural Gas (CNG),80600,1
California,2016,Propane,0,1
California,2016,Hydrogen,1300,1
California,2016,Methanol,400,1
California,2016,Gasoline,27241000,0
California,2016,Diesel,710400,0
California,2016,Unknown Fuel,115500,0
Colorado,2016,Electric (EV),5300,1
Colorado,2016,Plug-In Hybrid Electric (PHEV),3800,1
Colorado,2016,Hybrid Electric (HEV),74000,1
Colorado,2016,Biodiesel,0,1
Colorado,2016,Ethanol/Flex (E85),355500,1
Colorado,2016,Compressed Natural Gas (CNG),15900,1
Colorado,2016,Propane,0,1
Colorado,2016,Hydrogen,0,1
Colorado,2016,Methanol,0,1
Colorado,2016,Gasoline,4180500,0
Colorado,2016,Diesel,226800,0
Colorado,2016,Unknown Fuel,89900,0
Connecticut,2016,Electric (EV),2000,1
Connecticut,2016,Plug-In Hybrid Electric (PHEV),2800,1
Connecticut,2016,Hybrid Electric (HEV),43200,1
Connecticut,2016,Biodiesel,0,1
Connecticut,2016,Ethanol/Flex (E85),160800,1
Connecticut,2016,Compressed Natural Gas (CNG),3200,1
Connecticut,2016,Propane,0,1
Connecticut,2016,Hydrogen,0,1
Connecticut,2016,Methanol,0,1
Connecticut,2016,Gasoline,2690900,0
Connecticut,2016,Diesel,59700,0
