State,Year,TotalVehicles,CleanVehicles,NotCleanVehicles,PercentageClean,PercentageNotClean
Alabama,2016,4436600,478900,3957700,10.79430194292927,89.20569805707072
Alabama,2017,4458900,527700,3931200,11.834757451389356,88.16524254861065
Alabama,2018,4476700,561100,3915600,12.533786047758394,87.46621395224162
Alabama,2019,4593200,597300,3995900,13.00400592179744,86.99599407820257
Alabama,2020,4683200,624000,4059200,13.324222753672702,86.6757772463273
Alabama,2021,4747600,541100,4206500,11.39733760215688,88.60266239784312
Alabama,2022,4795500,562000,4233500,11.7193201960171,88.28067980398289
Alaska,2016,656100,66000,590100,10.05944215820759,89.94055784179241
Alaska,2017,636100,69700,566400,10.957396635749097,89.04260336425091
Alaska,2018,613900,71900,542000,11.712005212575338,88.28799478742467
Alaska,2019,602500,74100,528400,12.298755186721992,87.70124481327801
Alaska,2020,586100,74200,511900,12.659955638969459,87.34004436103055
Alaska,2021,569100,66900,502200,11.755403268318396,88.2445967316816
Alaska,2022,562100,69000,493100,12.275395837039673,87.72460416296033
Arizona,2016,5640900,543600,5097300,9.636760091474764,90.36323990852524
Arizona,2017,5846300,610300,5236000,10.439081128234951,89.56091887176505
Arizona,2018,6033300,671400,5361900,11.128238277559545,88.87176172244045
Arizona,2019,6217700,723000,5494700,11.62809398973897,88.37190601026103
Arizona,2020,6285600,754000,5531600,11.995672648593612,88.00432735140639
Arizona,2021,6359200,701600,5657600,11.032834318782236,88.96716568121776
Arizona,2022,6490500,745600,5744900,11.48755873969648,88.51244126030352
Arkansas,2016,2569700,352900,2216800,13.733120597735143,86.26687940226485
Arkansas,2017,2601700,384400,2217300,14.774954837221815,85.22504516277817
Arkansas,2018,2591500,401500,2190000,15.492957746478872,84.50704225352112
Arkansas,2019,2594900,414000,2180900,15.954372037458093,84.04562796254191
Arkansas,2020,2645300,424800,2220500,16.05867009412921,83.94132990587079
Arkansas,2021,2690900,349500,2341400,12.988219554795794,87.01178044520421
Arkansas,2022,2685400,355600,2329800,13.24197512474864,86.75802487525137
California,2016,30696700,2629800,28066900,8.56704466603902,91.43295533396098
California,2017,31999600,2967300,29032300,9.272928411605145,90.72707158839486
California,2018,32814500,3276400,29538100,9.984610461838518,90.01538953816149
California,2019,33671900,3539100,30132800,10.510544400523878,89.48945559947612
California,2020,34339500,3754200,30585300,10.9325994845586,89.06740051544139
California,2021,35000500,3767000,31233500,10.762703389951572,89.23729661004843
California,2022,36119800,4327300,31792500,11.980409636819694,88.0195903631803
Colorado,2016,4951700,454500,4497200,9.178665912716845,90.82133408728316
Colorado,2017,5075500,503300,4572200,9.916264407447542,90.08373559255246
Colorado,2018,5131900,538600,4593300,10.495138252888795,89.5048617471112
Colorado,2019,5249400,581200,4668200,11.071741532365603,88.9282584676344
Colorado,2020,5193000,590400,4602600,11.369150779896014,88.630849220104
Colorado,2021,5286400,567900,4718500,10.742660411622277,89.25733958837773
Colorado,2022,5387100,624600,4762500,11.594364314751909,88.4056356852481
Connecticut,2016,2992800,212000,2780800,7.083667468591286,92.91633253140871
Connecticut,2017,3037300,234800,2802500,7.730550159681296,92.26944984031871
Connecticut,2018,2971400,245900,2725500,8.275560341926365,91.72443965807363
Connecticut,2019,2972700,259100,2713600,8.71598210381135,91.28401789618866
Connecticut,2020,2922800,266100,2656700,9.104283563706035,90.89571643629397
Connecticut,2021,2872000,227800,2644200,7.93175487465181,92.0682451253482
Connecticut,2022,2951300,249700,2701600,8.460678345136042,91.53932165486395
Delaware,2016,855900,81900,774000,9.568874868559412,90.4311251314406
Delaware,2017,867500,89400,778100,10.305475504322766,89.69452449567723
Delaware,2018,878600,96200,782400,10.94923742317323,89.05076257682677
Delaware,2019,894900,102300,792600,11.43144485417365,88.56855514582634
Delaware,2020,914000,108900,805100,11.914660831509845,88.08533916849015
Delaware,2021,909600,93300,816300,10.257255936675461,89.74274406332454
Delaware,2022,913600,98600,815000,10.79246935201401,89.20753064798599
District of Columbia,2016,313100,30800,282300,9.837112743532419,90.16288725646758
District of Columbia,2017,330000,38400,291600,11.636363636363637,88.36363636363636
District of Columbia,2018,334400,39700,294700,11.87200956937799,88.127990430622
District of Columbia,2019,329300,39500,289800,11.995141208624355,88.00485879137565
District of Columbia,2020,318300,40400,277900,12.692428526547284,87.30757147345271
District of Columbia,2021,321700,40100,281600,12.465029530618589,87.5349704693814
District of Columbia,2022,319400,44600,274800,13.963681903569192,86.0363180964308
Florida,2016,15831800,1415700,14416100,8.942129132505464,91.05787086749454
Florida,2017,16353600,1584300,14769300,9.68777516877018,90.31222483122983
Florida,2018,16774700,1711100,15063600,10.200480485493033,89.79951951450697
Florida,2019,17071200,1796800,15274400,10.525329209428746,89.47467079057125
Florida,2020,17341700,1855200,15486500,10.697913122704234,89.30208687729578
Florida,2021,17729600,1699400,16030200,9.585100622687483,90.41489937731252
Florida,2022,18128300,1841100,16287200,10.15594402122648,89.84405597877353
Georgia,2016,8545200,846000,7699200,9.900294902401347,90.09970509759864
Georgia,2017,8691900,930500,7761400,10.70536936688181,89.29463063311819
Georgia,2018,8830100,995900,7834200,11.278467967520186,88.72153203247981
Georgia,2019,8933600,1041600,7892000,11.659353452135758,88.34064654786424
Georgia,2020,9097800,1082300,8015500,11.896282617775727,88.10371738222427
Georgia,2021,9399700,992200,8407500,10.555656031575475,89.44434396842452
Georgia,2022,9542400,1053500,8488900,11.040199530516432,88.95980046948357
Hawaii,2016,1051600,73100,978500,6.951312286040319,93.04868771395968
Hawaii,2017,1066800,80500,986300,7.545931758530183,92.45406824146981
Hawaii,2018,1080700,87000,993700,8.05033774405478,91.94966225594521
Hawaii,2019,1089700,94100,995600,8.635404239699,91.364595760301
Hawaii,2020,1066300,94000,972300,8.815530338553879,91.18446966144612
Hawaii,2021,1080800,92600,988200,8.567727609178387,91.43227239082161
Hawaii,2022,1080500,101000,979500,9.34752429430819,90.6524757056918
Idaho,2016,1670700,137200,1533500,8.212126653498533,91.78787334650147
Idaho,2017,1707300,154800,1552500,9.066947812335266,90.93305218766473
Idaho,2018,1760600,169900,1590700,9.650119277519027,90.34988072248098
Idaho,2019,1810300,184100,1626200,10.169585151632326,89.83041484836768
Idaho,2020,1858400,195100,1663300,10.498278088678433,89.50172191132157
Idaho,2021,1911100,202700,1708400,10.606457014284967,89.39354298571503
Idaho,2022,1934200,219700,1714500,11.358701271843657,88.64129872815634
Illinois,2016,10189400,1145400,9044000,11.241093685594834,88.75890631440517
Illinois,2017,10224200,1244500,8979700,12.17210148471274,87.82789851528726
Illinois,2018,10234400,1312800,8921600,12.827327444696317,87.17267255530368
Illinois,2019,10348100,1375200,8972900,13.289396121027048,86.71060387897295
Illinois,2020,10234200,1396400,8837800,13.644447050086963,86.35555294991303
Illinois,2021,10027700,1140400,8887300,11.372498180041285,88.62750181995871
Illinois,2022,10037500,1200300,8837200,11.958156911581568,88.04184308841843
Indiana,2016,5741900,647400,5094500,11.275013497274422,88.72498650272559
Indiana,2017,5846900,727700,5119200,12.44591150866271,87.5540884913373
Indiana,2018,5908700,785800,5122900,13.299033628378492,86.7009663716215
Indiana,2019,5972800,838300,5134500,14.035293329761586,85.96470667023841
Indiana,2020,6046100,875400,5170700,14.478754899852797,85.5212451001472
Indiana,2021,6097100,735500,5361600,12.063111971265029,87.93688802873497
Indiana,2022,6094400,765200,5329200,12.555788920976635,87.44421107902338
Iowa,2016,3016100,409300,2606800,13.570504956732204,86.4294950432678
Iowa,2017,3050300,448600,2601700,14.706750155722387,85.29324984427761
Iowa,2018,3061200,475600,2585600,15.53639095779433,84.46360904220566
Iowa,2019,3085400,496200,2589200,16.08219355675115,83.91780644324885
Iowa,2020,3107300,510700,2596600,16.435490618865252,83.56450938113474
Iowa,2021,3110700,424800,2685900,13.656090269071269,86.34390973092873
Iowa,2022,3118200,435700,2682500,13.97280482329549,86.02719517670451
Kansas,2016,2520000,292600,2227400,11.61111111111111,88.38888888888889
Kansas,2017,2550000,321600,2228400,12.611764705882353,87.38823529411765
Kansas,2018,2554800,340900,2213900,13.343510255205887,86.65648974479411
Kansas,2019,2583300,360900,2222400,13.970502845198002,86.02949715480199
Kansas,2020,2592200,374800,2217400,14.458760898078852,85.54123910192115
Kansas,2021,2592800,328900,2263900,12.685128046899106,87.31487195310089
Kansas,2022,2604600,340800,2263800,13.08454273208938,86.91545726791063
Kentucky,2016,3831900,383900,3448000,10.018528667240794,89.98147133275921
Kentucky,2017,3916200,431800,3484400,11.02599458658904,88.97400541341096
Kentucky,2018,3939400,466000,3473400,11.829212570442198,88.17078742955779
